placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
city,Polygon,county,Polygon,"""Biggs (formerly, Biggs Station) is a city in Butte County, California, United States.""","Biggs, California","Butte County, California",in,within,is in
city,Polygon,county,MultiPolygon,"""Fillmore is a small city in Ventura County, California, United States, in the Santa Clara River Valley.""","Fillmore, California","Ventura County, California",in,within,is in
city,Polygon,county,MultiPolygon,"""As of 2006, Moorpark was one of the fastest-growing cities in Ventura County.""","Moorpark, California","Ventura County, California",in,within,is in
city,Polygon,county,MultiPolygon,"""Camarillo (/√Ä√•k‚àö¬∂m‚Ä¶√¥√Ä√†ri√Ä√™o¬†√§/ KAM-‚Ä¶√¥-REE-oh) is a city in Ventura County in the U.S. state of California.""","Camarillo, California","Ventura County, California",in,within,is in
city,MultiPolygon,county,Polygon,in,"Baraboo,wisconsin","sauk county,wisconsin",in,within,is in
town,MultiPolygon,county,Polygon,in,"Beloit,wisconsin","rock county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,"""Waterford is the eighth largest city in Stanislaus County, California, United States.""","Waterford, California","Stanislaus County, California",in,within,is in
city,MultiPolygon,county,Polygon,"""Santa Rosa (Spanish for ""Saint Rose"") is a city and the county seat of Sonoma County, in the North Bay region of the Bay Area in California.""","Santa Rosa, California","Sonoma County, California",in,within,is in
city,Polygon,county,Polygon,"""Dorris is a city in Siskiyou County, California, United States.""","Dorris, California","Siskiyou County, California",in,within,is in
city,Polygon,county,Polygon,"""Dunsmuir is a city in Siskiyou County, northern California.""","Dunsmuir, California","Siskiyou County, California",in,within,is in
city,MultiPolygon,county,Polygon,in,"Antigo,wisconsin","langlade county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,"""Saratoga is a city in Santa Clara County, California.""","Saratoga, California","Santa Clara County, California",in,within,is in
town,Polygon,county,Polygon,"""Campbell /√Ä√†k‚àö¬∂mb‚Ä¶√¥l/ is a city in Santa Clara County, California, in the San Francisco Bay Area.""","Campbell, California","Santa Clara County, California",in,within,is in
city,Polygon,county,Polygon,"""South San Francisco is a city in San Mateo County, California, United States, located on the San Francisco Peninsula in the San Francisco Bay Area.""","South San Francisco, California","San Mateo County, California",in,within,is in
city,Polygon,county,Polygon,"""Arroyo Grande (Spanish for 'Big Creek') is a city in San Luis Obispo County, California, United States.""","Arroyo Grande, California","San Luis Obispo County, California",in,within,is in
city,Polygon,county,Polygon,"""Lodi (/√Ä√†lo¬†√§da‚Ä¶‚Ñ¢/ LOH-dye) is a city located in San Joaquin County, California, in the center portion of California's Central Valley.""","Lodi, California","San Joaquin County, California",in,within,is in
town,Polygon,county,Polygon,"""Barstow is a city in San Bernardino County, California, in the Mojave Desert of Southern California.""","Barstow, California","San Bernardino County, California",in,within,is in
town,MultiPolygon,county,Polygon,"""Hollister is a city in and the county seat of San Benito County, located in the Central Coast region of California.""","Hollister, California","San Benito County, California",in,within,is in
city,Polygon,county,Polygon,"""Rancho Cordova is a city in Sacramento County, California, United States which was incorporated in 2003.""","Rancho Cordova, California","Sacramento County, California",in,within,is in
town,MultiPolygon,county,Polygon,in and the county seat of,"Black River Falls,wisconsin","jackson county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,"""Watsonville is a city in Santa Cruz County, California, located in the Monterey Bay Area of the Central Coast of California.""","Watsonville, California","Santa Cruz County, California",in,within,is in
village,Polygon,county,Polygon,in,"Niagara,wisconsin","marinette county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Brillion,wisconsin","calumet county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Rice Lake,wisconsin","barron county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Reedsburg,wisconsin","sauk county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Racine,wisconsin","racine county,wisconsin",in,within,is in
village,Polygon,county,Polygon,in,"Princeton,wisconsin","green lake county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Plymouth,wisconsin","sheboygan county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Platteville,wisconsin","grant county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Pittsville,wisconsin","wood county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Peshtigo,wisconsin","marinette,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Ripon,wisconsin","fond du lac county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Peshtigo,wisconsin","marinette county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Owen,wisconsin","clark county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Oshkosh,wisconsin","winnebago county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Oconto Falls,wisconsin","oconto county,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Oconomowoc,wisconsin","waukesha county,wisconsin",in,within,is in
town,Polygon,county,Polygon,"""Citrus Heights is a city in Sacramento County, California.""","Citrus Heights, California","Sacramento County, California",in,within,is in
city,MultiPolygon,county,Polygon,in,"New Richmond,wisconsin","st. croix county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"New Lisbon,wisconsin","juneau county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Nekoosa,wisconsin","wood county,wisconsin",in,within,is in
village,Polygon,county,Polygon,in,"Park Falls,wisconsin","price county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Neenah,wisconsin","winnebago county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Seymour,wisconsin","outagamie county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Shullsburg,wisconsin","lafayette county,wisconsin",in,within,is in
city,Polygon,county,Polygon,within,"Prescott,wisconsin","pierce county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,within,"Medford,wisconsin","taylor county,wisconsin",in,within,is in
city,MultiPolygon,historic,Polygon,in,"ss meteor,wisconsin","Superior,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Weyauwega,wisconsin","waupaca county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Westby,wisconsin","vernon county ,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Waterloo,wisconsin","jefferson county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Verona,wisconsin","dane county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Sheboygan Falls,wisconsin","sheboygan county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Two Rivers,wisconsin","manitowoc county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Thorp,wisconsin","clark county,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Sun Prairie,wisconsin","dane county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Stoughton,wisconsin","dane county,wisconsin",in,within,is in
village,Polygon,county,Polygon,in,"St. Francis,wisconsin","milwaukee county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"St. Croix Falls,wisconsin","polk county,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Spooner,wisconsin","washburn county,wisconsin",in,within,is in
town,MultiPolygon,county,Polygon,in,"Sparta,wisconsin","monroe county,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"South Milwaukee,wisconsin","milwaukee county ,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Tomah,wisconsin","monroe county,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Muskego,wisconsin","waukesha county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Mosinee,wisconsin","marathon county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Montreal,wisconsin","iron county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Galesville,wisconsin","trempealeau county,wisconsin",in,within,is in
village,Polygon,county,Polygon,in,"Fox Lake,wisconsin","dodge county,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Fitchburg,wisconsin","dane county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Fennimore,wisconsin","grant county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Evansville,wisconsin","rock county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Elroy,wisconsin","juneau county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Elkhorn,wisconsin","walworth county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Dodgeville,wisconsin","iowa county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Glendale,wisconsin","milwaukee county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Delavan,wisconsin","walworth county,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Cudahy,wisconsin","milwaukee county ,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Cornell,wisconsin","chippewa county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Clintonville,wisconsin","waupaca county ,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Chippewa Falls,wisconsin","chippewa county,wisconsin",in,within,is in
town,MultiPolygon,county,Polygon,in,"Chilton,wisconsin","calumet county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Chetek,wisconsin","barron county,wisconsin",in,within,is in
town,MultiPolygon,county,Polygon,in,"Cedarburg,wisconsin","ozaukee county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Buffalo City,wisconsin","buffalo county ,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Delafield,wisconsin","waukesha county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Glenwood City,wisconsin","st. croix county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Greenwood,wisconsin","clark county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Hayward,wisconsin","sawyer county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Mineral Point,wisconsin","iowa county,wisconsin",in,within,is in
village,Polygon,county,Polygon,in,"Milton,wisconsin","rock county ,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Middleton,wisconsin","dane county,wisconsin",in,within,is in
town,Polygon,county,Polygon,in,"Mequon,wisconsin","ozaukee county,wisconsin",in,within,is in
city,Polygon,county,MultiPolygon,in,"Mellen,wisconsin","ashland county,wisconsin",in,within,is in
town,MultiPolygon,county,Polygon,in,"Mayville,wisconsin","dodge county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Mauston,wisconsin","juneau county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Markesan,wisconsin","green lake county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Manawa,wisconsin","waupaca county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Loyal,wisconsin","clark county,wisconsin",in,within,is in
village,Polygon,county,Polygon,in,"Lodi,wisconsin","columbia county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Lancaster,wisconsin","grant county ,wisconsin",in,within,is in
town,MultiPolygon,county,Polygon,in,"Lake Mills,wisconsin","jefferson county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,in,"Kaukauna,wisconsin","outagamie ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Janesville,wisconsin","rock county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Independence,wisconsin","trempealeau county,wisconsin",in,within,is in
village,MultiPolygon,county,Polygon,in,"Hurley,wisconsin","iron county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Hudson,wisconsin","st. croix county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Hillsboro,wisconsin","vernon county,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Bloomer,wisconsin","chippewa county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,"""Hemet is a city in the San Jacinto Valley in Riverside County, California.""","Hemet, California","Riverside County, California",in,within,is in
city,Polygon,county,Polygon,in,"Altoona,wisconsin","eau claire county,wisconsin",in,within,is in
city,Polygon,county,Polygon,"""Lincoln is a city in Placer County, California, United States, part of the Sacramento metropolitan area.""","Lincoln, California","Placer County, California",in,within,is in
city,MultiPolygon,county,Polygon,"Burlington is a city in Racine and Walworth counties in the U.S. state of Wisconsin, with the majority of the city located in Racine County","Burlington,wisconsin","walworth  county,wisconsin",in,overlaps,is in
city,MultiPolygon,county,Polygon,"Burlington is a city in Racine and Walworth counties in the U.S. state of Wisconsin, with the majority of the city located in Racine County","Burlington,wisconsin","racine county,wisconsin",in,overlaps,is in
city,MultiPolygon,county,Polygon,in,"Appleton,wisconsin","winnebago,wisconsin",in,overlaps,is in
city,MultiPolygon,county,Polygon,"Appleton (Menominee: Ahkōnemeh) is a city in Outagamie, Calumet, and Winnebago counties in the U.S. state of Wisconsin.","Appleton,wisconsin","calumet,wisconsin",in,overlaps,is in
town,Polygon,county,Polygon,"""Riverbank is a city in Stanislaus County, California, United States.""","Riverbank, California","Stanislaus County, California",in,overlaps,is in
city,Polygon,cemetery,Polygon,"""Oakdale is a city in the San Joaquin Valley and Stanislaus County, California.""","Oakdale, California","San Joaquin Valley, California",in,disjoint,is in
town,Polygon,building,Polygon,"""South El Monte is a city in the San Gabriel Valley, in Los Angeles County, California, United States.""","South El Monte, California","the San Gabriel Valley, California",in,disjoint,is in
city,MultiPolygon,county,Polygon,in,"Hartford,wisconsin","dodge county,wisconsin",in,overlaps,is in
city,Polygon,county,Polygon,"""Norco is a city in Riverside County, California, in the United States.""","Norco, California","Riverside County, California",in,within,is in
city,Polygon,cemetery,Polygon,"""It is in the Pomona Valley, at the foothills of the San Gabriel Mountains.""","Claremont, California","Pomona Valley, California",in,disjoint,is in
town,Polygon,county,Polygon,in,"Kiel,wisconsin","calumet county,wisconsin",in,overlaps,is in
city,Polygon,county,Polygon,in,"Marion,wisconsin","shawano,wisconsin",in,overlaps,is in
city,Polygon,county,Polygon,"""La Palma (Spanish for 'The Palm') is a city in Orange County, California, United States.""","La Palma, California","Orange County, California",in,within,is in
town,Polygon,county,Polygon,in,"Kiel,wisconsin","manitowoc county,wisconsin",in,overlaps,is in
city,Polygon,county,Polygon,"""Villa Park is a city in Orange County, California, United States.""","Villa Park, California","Orange County, California",in,within,is in
city,Polygon,county,Polygon,"""Calistoga (Wappo: Nilektsonoma) is a city in Napa County, in the Wine Country of California.""","Calistoga, California","Napa County, California",in,within,is in
town,Polygon,county,MultiPolygon,"""Hawaiian Gardens is a city in Los Angeles County, California, United States.""","Hawaiian Gardens, California","Los Angeles County, California",in,within,is in
city,Polygon,county,MultiPolygon,"""West Hollywood is a city in Los Angeles County, California, United States.""","West Hollywood, California","Los Angeles County, California",in,within,is in
city,Polygon,county,MultiPolygon,"""Long Beach is a city in Los Angeles County, California.""","Long Beach, California","Los Angeles County, California",in,within,is in
town,Polygon,county,MultiPolygon,"""San Marino is a residential city in Los Angeles County, California, United States.""","San Marino, California","Los Angeles County, California",in,within,is in
city,Polygon,county,MultiPolygon,"""Calabasas (Spanish for 'Squash') is a city in the Santa Monica Mountains region of Los Angeles County, California.""","Calabasas, California","Los Angeles County, California",in,within,is in
town,Polygon,county,MultiPolygon,"""Cerritos (Spanish for 'Little hills') is a city in Los Angeles County, California, United States, and is one of several cities that constitute the Gateway Cities of southeast Los Angeles County.""","Cerritos, California","Los Angeles County, California",in,within,is in
town,Polygon,county,Polygon,"""Pleasant Hill is a city in Contra Costa County, California, United States, in the East Bay of the San Francisco Bay Area.""","Pleasant Hill, California","Contra Costa County, California",in,within,is in
city,Polygon,municipality,Polygon,in,"Plymouth,wisconsin","town of plymouth,wisconsin",in,touches,is in
city,MultiPolygon,county,Polygon,in,"Kaukauna,wisconsin","calumet,wisconsin",in,touches,is in
town,MultiPolygon,county,Polygon,"7,795 were in Dodge County, and 3,549 were in Fond du Lac County","Waupun,wisconsin","fond du lac county,wisconsin",in,overlaps,is in
town,MultiPolygon,county,Polygon,"7,795 were in Dodge County, and 3,549 were in Fond du Lac County","Waupun,wisconsin","dodge county,wisconsin",in,overlaps,is in
city,MultiPolygon,county,Polygon,in,"Superior,wisconsin","douglas county,wisconsin",in,overlaps,is in
city,Polygon,county,Polygon,in,"Marion,wisconsin","waupaca ,wisconsin",in,overlaps,is in
city,Polygon,county,Polygon,"""Placerville (/√Ä√†pl‚àö¬∂s‚Ä¶√¥rv‚Ä¶‚Ñ¢l/, PLASS-‚Ä¶√¥r-vil; formerly Old Dry Diggings, Dry Diggings, and Hangtown) is a city in and the county seat of El Dorado County, California.""","Placerville, California","El Dorado County, California",in,within,is in
town,MultiPolygon,industrial,Polygon,in close proximity to,"Cedarburg,wisconsin","interstate 43,wisconsin",in close proximity to,disjoint,in close proximity to
city,Polygon,county,Polygon,"""Cypress is a city in northwestern Orange County within Southern California.""","Cypress, California","Orange County, California",in direction,within,just direction of
town,Polygon,county,MultiPolygon,"""La Mirada (Spanish for ""The Look"") is a city in southeast Los Angeles County, California United States, and is one of the Gateway Cities.""","La Mirada, California","Los Angeles County, California",in direction,within,just direction of
beach,Polygon,city,Polygon,"""A paved path, called The Strand, runs along Hermosa's beach from Torrance Beach in the south approximately twenty miles north to Santa Monica.""","Torrance Beach, California","Santa Monica, California",in the direction to,disjoint,just direction of
water,Polygon,city,Polygon,"""Silver Lake is a residential and commercial neighborhood in the east-central region of Los Angeles, California.""","Silver Lake, California","Los Angeles, California",in the direction-central region of,disjoint,just direction of
city,MultiPolygon,park,Polygon,include,"Superior,wisconsin","billings park,wisconsin",include,contains,includes
city,Polygon,secondary road,LineString,"Major thoroughfares include Lakewood (SR 19), Bellflower, and Del Amo Boulevards and Carson and South Streets","Lakewood,california","Bellflower,lakewood,california",includes,contains,includes
city,Polygon,museum,Polygon,"Other attractions in Riverside include the Fox Performing Arts Center, Museum of Riverside, which houses exhibits and artifacts of local history, the California Museum of Photography, the California Citrus State Historic Park, Castle Park, and the Parent Washington Navel Orange Tree, the last of California's two original navel orange trees","Riverside,california","Museum of Riverside,california",includes,contains,includes
city,Polygon,museum,Polygon,"Other attractions in Riverside include the Fox Performing Arts Center, Museum of Riverside, which houses exhibits and artifacts of local history, the California Museum of Photography, the California Citrus State Historic Park, Castle Park, and the Parent Washington Navel Orange Tree, the last of California's two original navel orange trees.","Riverside,california"," California Museum of Photography,california",includes,contains,includes
town,Polygon,resort,MultiPolygon,"This edge city includes the Disneyland Resort, with two theme parks, multiple hotels, and its retail district; Disney is part of the larger Anaheim Resort district with numerous other hotels and retail complexes.","Anaheim,california","Disneyland Resort,california",includes,contains,includes
town,Polygon,protected area,MultiPolygon,"State parks and beaches on the Malibu coast include Malibu Creek State Park, Leo Carrillo State Beach and Park, Point Mugu State Park, and Robert H. Meyer Memorial State Beach, with individual beaches: El Pescador, La Piedra and El Matador.","Malibu,california","Malibu Creek State Park,california",includes,overlaps,includes
city,Polygon,museum,Polygon,"Monterey's present-day attractions include the Monterey Bay Aquarium, Cannery Row, Fisherman's Wharf, California Roots Music and Arts Festival, and the annual Monterey Jazz Festival.","Monterey,california","Monterey Bay Aquarium,california",includes,contains,includes
aeroway,Polygon,city,Polygon,"""The southwestern portion of Dallas/Fort Worth International Airport is inside the city limits of Euless.""","Dallas/Fort Worth International Airport, Texas","Euless, Texas",inside the city limits of,overlaps,inside the city limits of
highway,LineString,town,Polygon,"""U.S. Highways 281 and 380, and Texas State Highways 114 and 199 intersect at Jacksboro, which is the county seat of Jack County.""","U.S. Highways 281 and 380, and Texas State Highways 114 and 199","Jacksboro, Texas",intersect at,crosses,intersect
highway,LineString,highway,LineString,"""Tilden lies at the intersection of State Highways 16 and 72 in the north central part of the county.""","State Highways 16, Texas","State High 72, Texas",intersection,crosses,intersect
highway,LineString,highway,LineString,"""It is located 20 miles west of Beaumont at the intersection of U.S. Highway 90, State Highway 326 and Farm to Market Road 365.""","U.S. Highway 90, Texas","State Highway 326, Texas",intersection,crosses,intersect
highway,LineString,highway,LineString,"""The city is centered on the intersection of Texas Highways 35 & 36, 55 miles (89 km) southwest of downtown Houston.""","Texas Highways 35, Texas","Texas Highway 36, Texas",intersection,crosses,intersect
town,Polygon,suburb,Polygon,"""Rancho Palos Verdes (Spanish for 'Green Sticks Ranch') is a coastal city located in Los Angeles County, California atop the bluffs of the Palos Verdes Peninsula, is neighboring other cities in the Palos Verdes Hills, including Palos Verdes Estates, Rolling Hills and Rolling Hills Estates.""","Rancho Palos Verdes, California","Palos Verdes Estates, california",is neighboring,touches,is neighboring
city,MultiPolygon,landfill,MultiPolygon,is neighboring across the bay,"Superior,wisconsin","duluth city,minnesota",is neighboring,touches,is neighboring
town,Polygon,city,MultiPolygon,"""The city was founded in 1851 on General Vallejo's Rancho Suscol to serve as the capital city of California, which it served as from 1852 to 1853, when the Californian government moved to is neighboring Benicia, named in honor of General Vallejo's wife Benicia Carrillo de Vallejo.""","Benicia, California","Vallejo, California",is neighboring,touches,is neighboring
city,Polygon,city,Polygon,"""Dana described the locale, including is neighboring San Juan Capistrano, as 'the only romantic spot on the coast'.""","Dana Point, California","San Juan Capistrano, California",is neighboring,touches,is neighboring
city,Polygon,town,Polygon,"""Larkspur's Police Department is shared with that of the is neighboring Corte Madera and town of San Anselmo as the Central Marin Police Authority.""","Larkspur, California","Corte Madera, California",is neighboring,touches,is neighboring
city,MultiPolygon,town,Polygon,"""It covers a total area of 27.8 square miles (72 km2), about half of the valley, which it shares with the is neighboring city of San Jacinto.""","Hemet, California","San Jacinto, California",is neighboring,touches,is neighboring
town,Polygon,city,Polygon,"""The Los Alamitos Race Course is named for the city, but lies in the is neighboring city of Cypress.""","Los Alamitos, California","Cypress, California",is neighboring,touches,is neighboring
town,Polygon,city,MultiPolygon,"The education system for Haltom City is served by the Birdville Independent School District, which also serves is neighboring cities including Fort Worth, North Richland Hills, Watauga, and as far as Hurst.","Haltom City,texas","Fort Worth, Texas",is neighboring,touches,is neighboring
town,Polygon,town,Polygon,"The education system for Haltom City is served by the Birdville Independent School District, which also serves is neighboring cities including Fort Worth, North Richland Hills, Watauga, and as far as Hurst.","Haltom City,texas","North Richland Hills,texas",is neighboring,touches,is neighboring
town,Polygon,town,Polygon,"The education system for Haltom City is served by the Birdville Independent School District, which also serves is neighboring cities including Fort Worth, North Richland Hills, Watauga, and as far as Hurst.","Haltom City,texas","Watauga,texas",is neighboring,touches,is neighboring
highway,LineString,highway,LineString,"""O'Brien is located at the junction of Farm Road 2229 and Texas State Highway 6; the nearest large city is Abilene, 70 miles to the south.""","Farm Road 2229, Texas",Texas State Highway 6,junction,crosses,at the junction of
city,MultiPolygon,city,MultiPolygon,"A suburb just north of San Antonio, and part of the Greater San Antonio metropolitan area, it was the third-fastest-growing city in the United States from 2010–2020.","New Braunfels,texas","San Antonio,texas",just direction of,disjoint,just direction of
city,MultiPolygon,bay,Polygon,"""Salinas is an urban area located in the Monterey Bay Area, just south of the San Francisco Bay Area and 10 miles (16 km) southeast of the mouth of the Salinas River.""","Salinas, California",San Francisco Bay California,just direction of,disjoint,just direction of
city,Polygon,tourism,MultiPolygon,"""Garden Grove is a city in northern Orange County, California, United States, located just southwest of Disneyland(located in Anaheim, CA).""","Garden Grove, California","Disneyland, California",just direction of,disjoint,just direction of
town,MultiPolygon,city,MultiPolygon,"""Farmersville is a city in the San Joaquin Valley in Tulare County, California, United States, just to the east of Visalia.""","Farmersville, California","Visalia, California",just direction of,disjoint,just direction of
city,Polygon,amenity,Polygon,"Just east of the community is Jarvis Christian College, a historically black institution of higher learning.","Hawkins,texas","Jarvis Christian College,texas",just direction of,disjoint,just direction of
city,Polygon,city,Polygon,"""It is located just southeast of Seaside, at an elevation of 82 feet (25 m).""","Del Rey Oaks, California","Seaside, California",just direction of,touches,just direction of
city,Polygon,city,Polygon,It is almost 15 miles (24 km) north of Temecula and just north of Murrieta,"Menifee, california","Murrieta, california",just direction of,touches,just direction of
town,Polygon,suburb,Polygon,"""Montebello (Italian for 'Beautiful Mountain') is a city in Los Angeles County, California, United States, located just east of East Los Angeles and southwest of San Gabriel Valley.""","Montebello, California","East Los Angeles, California",just direction of,touches,just direction of
village,Polygon,city,MultiPolygon,"It is a suburb of Austin, located just west of central Austin.","West lake hills,travis county, texas","Austin,texas",just direction of,touches,just direction of
town,MultiPolygon,city,MultiPolygon,"A suburb just north of Austin, and part of the Greater Austin metropolitan area, it was the fastest-growing city in the United States between 2018 and 2019.","Leander,texas","Austin,texas",just direction of,disjoint,just direction of
national_park,MultiPolygon,residential,Polygon,"""The Muir Woods National Monument is also located just outside the city limits.""","Muir Woods National Monument, California","city limits, California",just outside,disjoint,outside
town,Polygon,city,Polygon,"""It is 3.42 square miles in area and lies between the much larger city of Pasadena, of which it was once a part, and the metropolis of Los Angeles.""","South Pasadena, California","Pasadena, California",lies between,touches,is between C and
city,Polygon,desert,Polygon,"""The city lies in the Antelope Valley region of Southern California.""","Palmdale, California","Antelope Valley, California",lies in,overlaps,is in
city,Polygon,water,Polygon,lies on,"Monona,wisconsin","lake monona ,wisconsin",lies on,overlaps,lies on
village,Polygon,county,Polygon,"""O'Donnell is a West Texas city that lies primarily in Lynn County, with a small portion extending south into Dawson County, Texas.""","O'Donnell, Texas","Lynn County, Texas",lies primarily in,overlaps,is mostly in
village,Polygon,town,Polygon,"""The city of Socorro adjoins it on the west and the town of Clint lies to the north.""","Clint, Texas","San Elizario, Texas",lies to the direction,disjoint,just direction of
city,Polygon,locality,Polygon,"""Irwindale lies to the west, as well as the unincorporated area of Vincent, and the city of Baldwin Park.""","Irwindale, California","Vincent, California",lies to the direction,touches,just direction of
city,Polygon,amenity,Polygon,"""Today, Petaluma is known for its well-preserved historic center and as a local hub for the Petaluma Valley region of Sonoma County.""","Petaluma, California","Petaluma Valley, California",local hub for,disjoint,hub for
city,Polygon,amenity,Polygon,"""Sulphur Springs is located along the western edge of Northeast Texas.""","Sulphur Springs, Texas",Northeast Texas,located along the directionern edge of,disjoint,is along
village,Polygon,highway,LineString,"""O'Brien is located at the junction of Farm Road 2229 and Texas State Highway 6; the nearest large city is Abilene, 70 miles to the south.""","O'Brien, Texas","Farm Road 2229 and Texas State Highway 6, Texas",located at,crosses,is located at
city,Polygon,county,Polygon,located in,"Gillett,wisconsin","oconto county,wisconsin",located in,within,is located in
city,Polygon,county,Polygon,located in,"Osseo,wisconsin","trempealeau county,wisconsin",located in,within,is located in
village,Polygon,county,Polygon,located in,"Omro,wisconsin","winnebago county,wisconsin",located in,within,is located in
town,Polygon,county,Polygon,located in,"New Holstein,wisconsin","calumet county,wisconsin",located in,within,is located in
city,MultiPolygon,county,Polygon,located in,"Lake Geneva,wisconsin","walworth county,wisconsin",located in,within,is located in
city,Polygon,county,Polygon,located in,"Monona,wisconsin","dane county,wisconsin",located in,within,is located in
city,Polygon,county,Polygon,located in,"De Pere,wisconsin","brown county,wisconsin",located in,within,is located in
village,Polygon,county,Polygon,located in,"Horicon,wisconsin","dodge county ,wisconsin",located in,within,is located in
town,Polygon,county,Polygon,located in,"Pewaukee,wisconsin","waukesha county,wisconsin",located in,within,is located in
village,Polygon,county,Polygon,located in,"Neillsville,wisconsin","clark county ,wisconsin",located in,within,is located in
city,MultiPolygon,county,Polygon,located in,"Tomahawk,wisconsin","lincoln county,wisconsin",located in,within,is located in
village,Polygon,county,Polygon,"""Castle Hills is a city located in Bexar County, Texas, United States.""","Castle Hills, Texas","Bexar County, Texas",located in,within,is located in
village,Polygon,county,Polygon,"""Somerset is a city located in Bexar County, Texas, United States.""","Somerset, Texas","Bexar County, Texas",located in,within,is located in
city,MultiPolygon,county,Polygon,"""Ennis (/√Ä√†‚Ä¶√µn‚Ä¶‚Ñ¢s/) is a city in eastern Ellis County, Texas.""","Ennis, Texas","Ellis County, Texas",located in,within,is located in
